Word,POS Tag,Frequency
useful,NOUN,69
antri,VERB,69
lot,PROPN,69
ulang,NOUN,69
melakukan,VERB,69
deh,NOUN,68
atas,ADP,68
nomor,NOUN,68
Layanan,NOUN,68
sampe,NOUN,68
but,PROPN,68
data,NOUN,67
pihak,NOUN,67
kecewa,VERB,67
digital,ADJ,67
minta,VERB,67
sesi,NOUN,67
praktis,ADJ,67
more,NOUN,67
Konsultasi,PROPN,67
tempat,NOUN,66
terimakasih,ADV,66
berkonsultasi,VERB,66
much,NOUN,66
all,NOUN,65
your,PROPN,65
delivery,NOUN,65
also,PROPN,65
saran,NOUN,65
konfirmasi,NOUN,65
barang,NOUN,65
kerja,NOUN,65
yg,X,65
keadaan,NOUN,65
of,ADP,65
Customer,PROPN,64
responnya,NOUN,64
Alhamdulillah,PROPN,64
coba,NOUN,64
Mau,X,64
like,PROPN,64
mendapatkan,VERB,64
daftar,NOUN,64
really,PROPN,64
kurir,NOUN,63
diantar,VERB,63
akhirnya,ADV,63
terlalu,ADV,63
dihubungi,VERB,62
30,NUM,62
call,PROPN,62
consultation,PROPN,62
berguna,ADJ,62
biasa,ADJ,62
urgent,NOUN,62
diterima,VERB,62
informasi,NOUN,62
tes,NOUN,62
will,NOUN,61
Selalu,ADV,61
covid,NOUN,61
cari,NOUN,61
katanya,NOUN,61
punya,VERB,61
apotik,PROPN,61
we,PROPN,60
10,NUM,60
memang,ADV,60
setiap,DET,60
penyakit,NOUN,60
bagi,ADP,60
!,PROPN,60
bantuan,NOUN,60
pergi,VERB,60
medical,NOUN,59
mencari,VERB,59
bintang,NOUN,59
pagi,NOUN,59
gojek,NOUN,59
menolong,VERB,59
terbaik,ADJ,59
ribet,NOUN,59
efisien,ADJ,59
Please,PROPN,59
But,PROPN,58
umum,ADJ,58
emergency,NOUN,58
need,PROPN,58
terjangkau,ADJ,58
when,NOUN,58
opsi,NOUN,58
profesional,ADJ,58
2x,NOUN,58
dimasa,NOUN,58
satu,DET,58
dapet,NOUN,57
sesuai,ADP,57
Di,ADP,57
kapan,NOUN,57
Apps,PROPN,57
jadwal,NOUN,57
best,NOUN,57
covid,NUM,57
gk,NOUN,56
user,PROPN,56
dok,NOUN,56
dipakai,VERB,56
give,NOUN,56
mana,NOUN,56
nice,NOUN,56
Ada,VERB,56
Konsultasi,NOUN,56
menjawab,VERB,56
far,PROPN,56
during,PROPN,56
udah,NOUN,56
bikin,NOUN,56
tetapi,CONJ,56
jawaban,NOUN,56
in,ADP,55
dgn,ADP,55
makin,ADV,55
situation,PROPN,55
be,NOUN,55
menu,NOUN,55
I,NUM,55
Dokternya,NOUN,55
ringan,ADJ,55
gini,NOUN,54
dokternya,PROPN,54
go,PROPN,54
recommended,NOUN,54
jangan,X,54
halo,NOUN,54
berobat,NOUN,54
hp,NOUN,54
cek,NOUN,54
kemudian,ADV,53
kembali,VERB,53
gak,VERB,53
suka,VERB,53
especially,NOUN,53
